Step,311,312,lr1,lr2
43278,0.198564395,0.227874443,0.21323517,0.21323517
43518,0.170753539,0.14604032,0.273867607,0.273867607
43553,0.16636914,0.203508452,0.21255739,0.21255739
43607,0.169052064,0.18102251,0.20273304,0.20273304
43639,0.243795052,0.215165347,0.32116878,0.32116878
43711,0.179847896,0.206171334,0.238837212,0.238837212
43738,0.214968264,0.177306235,0.199712723,0.199712723
43742,0.19558841,0.198197365,0.270574212,0.270574212
43805,0.194284737,0.171239957,0.100716665,0.100716665
43993,0.188909918,0.148068517,0.128416181,0.128416181
44073,0.183012322,0.144701421,0.157840341,0.157840341
44200,0.143257052,0.181541085,0.127712995,0.127712995
44207,0.201610774,0.244075209,0.20071274,0.20071274
44251,0.166750163,0.185111076,0.186543882,0.186543882
44304,0.211279929,0.140207738,0.28295061,0.28295061
44585,0.155578852,0.199033603,0.227661282,0.227661282
44802,0.113314249,0.141508937,0.276156068,0.276156068
44816,0.165372178,0.144941121,0.263640642,0.263640642
44964,0.162866145,0.19134742,0.295689017,0.295689017
45310,0.190922678,0.197687775,0.198373169,0.198373169
45319,0.208784938,0.190462291,0.246705607,0.246705607
45372,0.153122395,0.148067296,0.307139039,0.307139039
45507,0.18147704,0.205688983,0.175398618,0.175398618
45658,0.182151899,0.198987156,0.170693189,0.170693189
46033,0.171223044,0.1612349,0.247234017,0.247234017
46090,0.19667767,0.234737203,0.178340822,0.178340822
46169,0.18246606,0.236640543,0.304835558,0.304835558
46205,0.17712456,0.197552264,0.188227519,0.188227519
46318,0.175396964,0.212474942,0.258052647,0.258052647
46334,0.141876146,0.176905781,0.12274085,0.12274085
46413,0.182810426,0.208339572,0.309913993,0.309913993
46499,0.197695062,0.168726921,0.314286828,0.314286828
47241,0.149500787,0.169740692,0.263399065,0.263399065
47301,0.186476424,0.214156806,0.10630732,0.10630732
47321,0.14761956,0.158503592,0.196395323,0.196395323
47489,0.25351727,0.201888174,0.206913561,0.206913561
47585,0.134202927,0.157026008,0.144451708,0.144451708
47638,0.174789339,0.169950813,0.299922526,0.299922526
47669,0.1934001,0.172723979,0.188547045,0.188547045
47705,0.187993035,0.180165559,0.187657341,0.187657341
47744,0.188007057,0.127621338,0.166224211,0.166224211
47882,0.177000642,0.16770643,0.313857496,0.313857496
47947,0.140588939,0.077163853,0.166911572,0.166911572
47970,0.137453884,0.164228067,0.075724028,0.075724028
48076,0.199002907,0.180534244,0.236998707,0.236998707
48181,0.165777683,0.151184335,0.285695881,0.285695881
48227,0.192997605,0.211642802,0.193284899,0.193284899
48522,0.182770073,0.210591078,0.230950624,0.230950624
